Phrase Table: 5,575 unique phrase pairs from 1000 sentence pairs (max phrase length = 5)
Costs are in bits: -log2(probability). Lower = more probable.

Source (Spanish)                         Target (English)                            cost(f|e)    cost(e|f)   count
laborales                                employment                                     4.5850      -0.0000       1
laborales y                              employment and                                -0.0000      -0.0000       1
laborales y sociales                     employment and social                         -0.0000      -0.0000       1
y sociales                               and social                                     2.0000      -0.0000       1
sector público                           public sector                                 -0.0000      -0.0000       1
absoluta                                 absolute                                       1.0000      -0.0000       1
intereses                                interests                                     -0.0000      -0.0000       1
todo esto                                all this                                       1.0000      -0.0000       1
y expresamos                             and are                                       -0.0000      -0.0000       1
expresamos                               are                                            5.3576      -0.0000       1
transcurso                               course                                         2.0000      -0.0000       1
antes                                    prior                                          1.0000       3.0000       1
moneda única                             single currency                               -0.0000      -0.0000       1
en                                       far                                           -0.0000       7.5469       1
estos medios                             these resources                               -0.0000      -0.0000       1
medios                                   resources                                      2.5850      -0.0000       1
a este                                   to this                                       -0.0000      -0.0000       1
por nuestra                              for our                                       -0.0000       1.0000       1
seguimos                                 we                                             5.4594       1.5850       1
ventajas                                 advantages                                    -0.0000      -0.0000       1
ventajas y                               advantages and                                -0.0000      -0.0000       1
común                                    shared                                        -0.0000       3.4594       1
los pueblos                              peoples                                       -0.0000      -0.0000       1
de                                       having                                         1.5850       7.0980       1
dicho                                    said                                           1.0000      -0.0000       1
dicho esto                               said that                                     -0.0000      -0.0000       1
esto                                     that                                           6.7682       4.0875       1
prever                                   planning                                       2.3219      -0.0000       1
responsable                              responsible                                    1.0000       1.0000       1
responsable y                            responsible and                               -0.0000      -0.0000       1
en este nuevo                            in this new                                   -0.0000      -0.0000       1
en este nuevo contexto                   in this new context                           -0.0000      -0.0000       1
este nuevo                               this new                                      -0.0000      -0.0000       1
este nuevo contexto                      this new context                              -0.0000      -0.0000       1
nuevo contexto                           new context                                   -0.0000      -0.0000       1
contexto                                 context                                        1.0000      -0.0000       1
naturalmente                             naturally                                     -0.0000       1.0000       1
desempeñar                               to play                                       -0.0000       1.0000       1
desempeñar                               play                                           1.0000       1.0000       1
en este ámbito                           in this area                                  -0.0000      -0.0000       1
este ámbito                              this area                                     -0.0000      -0.0000       1
comisión ha dado                         commission has given                          -0.0000      -0.0000       1
comisión ha dado prioridad               commission has given priority                 -0.0000      -0.0000       1
ha dado                                  has given                                     -0.0000      -0.0000       1
ha dado prioridad                        has given priority                            -0.0000      -0.0000       1
dado prioridad                           given priority                                -0.0000      -0.0000       1
prioridad                                priority                                       2.0000      -0.0000       1
acción :                                 action :                                      -0.0000      -0.0000       1
acción : actuar                          action : acting                               -0.0000      -0.0000       1
acción : actuar sobre                    action : acting on                            -0.0000      -0.0000       1
: actuar                                 : acting                                      -0.0000      -0.0000       1
: actuar sobre                           : acting on                                   -0.0000      -0.0000       1
actuar                                   acting                                        -0.0000       1.5850       1
actuar sobre                             acting on                                     -0.0000      -0.0000       1
estructura                               structure                                     -0.0000      -0.0000       1
activa                                   actively                                      -0.0000       1.0000       1
lucha contra                             combating                                     -0.0000       1.0000       1
prácticas                                practices                                     -0.0000       1.0000       1
asuntos                                  matters                                        1.0000       2.3219       1
interés comunitario                      community interest                            -0.0000      -0.0000       1
introducción                             introduction                                  -0.0000      -0.0000       1
porque esta                              since this                                    -0.0000      -0.0000       1
contra                                   counter                                       -0.0000       3.1699       1
hay                                      constraints                                   -0.0000       3.4594       1
los artículos 85 y                       articles 85 and                               -0.0000      -0.0000       1
85 y                                     85 and                                        -0.0000      -0.0000       1
necesariamente                           necessarily                                   -0.0000      -0.0000       1
sea necesariamente                       necessarily be                                -0.0000      -0.0000       1
a                                        going                                         -0.0000       6.8202       1
en realidad                              in fact                                       -0.0000      -0.0000       1
realidad                                 fact                                           3.0000       1.5850       1
un                                       retaining                                     -0.0000       6.8074       1
sino que                                 but clearly                                   -0.0000      -0.0000       1
que                                      clearly                                        1.5850       7.6366       1
los estados nacionales                   national states                               -0.0000      -0.0000       1
cumplimiento                             observance                                    -0.0000      -0.0000       1
normas que                               rules which                                   -0.0000      -0.0000       1
medidas están                            measures are                                  -0.0000      -0.0000       1
medidas están bien                       measures are heading                          -0.0000      -0.0000       1
están bien                               are heading                                   -0.0000      -0.0000       1
bien                                     heading                                       -0.0000       2.3219       1
con                                      right                                          1.5850       6.1898       1
vigilantes                               vigilant                                      -0.0000      -0.0000       1
fin                                      realised                                      -0.0000       1.5850       1
detrimento                               detriment                                     -0.0000       1.0000       1
europa y                                 europe and                                    -0.0000      -0.0000       1
soberanía                                sovereignty                                   -0.0000      -0.0000       1
los estados .                            states .                                      -0.0000      -0.0000       1
en particular en                         particularly                                   4.1699      -0.0000       1
en particular en lo                      particularly as                               -0.0000      -0.0000       1
sin                                      abolition                                     -0.0000       2.8074       1
notificaciones                           notification                                  -0.0000      -0.0000       1
notificaciones y                         notification and                              -0.0000      -0.0000       1
notificaciones y autorizaciones          notification and authorisation                -0.0000      -0.0000       1
y autorizaciones                         and authorisation                             -0.0000      -0.0000       1
autorizaciones                           authorisation                                 -0.0000      -0.0000       1
descentralización                        decentralisation                              -0.0000      -0.0000       1
competencias                             powers                                        -0.0000       1.0000       1
del                                      law                                            3.1699       4.4594       1
ámbito                                   workings                                      -0.0000       3.0000       1
proteccionistas                          protectionist                                 -0.0000      -0.0000       1
al                                       respect                                        2.0000       5.1293       1
duda                                     doubtless                                     -0.0000      -0.0000       1
gran liberal italiano                    great italian liberal                         -0.0000      -0.0000       1
liberal italiano                         italian liberal                               -0.0000      -0.0000       1
liberal                                  liberal                                       -0.0000      -0.0000       1
desarrollo anómalo                       abnormal increase                             -0.0000      -0.0000       1
injerencia                               interference                                  -0.0000      -0.0000       1
más graves                               most serious                                  -0.0000      -0.0000       1
libertad                                 freedom                                       -0.0000      -0.0000       1
usuarios                                 users                                         -0.0000      -0.0000       1
ya hemos                                 we have already                               -0.0000      -0.0000       1
presencia pública                        public presence                               -0.0000      -0.0000       1
presencia                                presence                                      -0.0000      -0.0000       1
gobiernos                                governments                                    1.5850      -0.0000       1
centrales                                central                                        1.5850      -0.0000       1
bancos centrales                         central banks                                 -0.0000      -0.0000       1
bancos                                   banks                                         -0.0000      -0.0000       1
semanas                                  recent weeks                                  -0.0000      -0.0000       1
amplios                                  large sections                                -0.0000       1.0000       1
manos                                    hands                                         -0.0000      -0.0000       1
televisiones                             television                                     1.0000      -0.0000       1
contribuyentes                           taxpayer                                      -0.0000      -0.0000       1
obligatorio                              compulsory                                    -0.0000      -0.0000       1
seguro obligatorio                       compulsory insurance                          -0.0000      -0.0000       1
seguro                                   insurance                                     -0.0000      -0.0000       1
incluidos                                including                                      1.0000      -0.0000       1
dejan                                    leave                                         -0.0000      -0.0000       1
son                                      genuine                                        2.0000       3.8074       1
presidente                               mr president                                   4.7004       6.0224       1
izquierda                                left                                          -0.0000      -0.0000       1
así decirlo                              so to speak                                   -0.0000      -0.0000       1
así decirlo .                            so to speak .                                 -0.0000      -0.0000       1
mientras                                 whilst                                        -0.0000      -0.0000       1
obligan                                  forcing                                       -0.0000      -0.0000       1
gastos                                   expenditure                                   -0.0000      -0.0000       1
gastos ,                                 expenditure ,                                 -0.0000      -0.0000       1
alto                                     high                                          -0.0000      -0.0000       1
alto nivel                               high level                                    -0.0000      -0.0000       1
que                                      so                                             3.4594       7.6366       1
miembro                                  member                                         5.4263      -0.0000       1
consecuencias                            effects                                        2.5850       1.0000       1
horizontales                             horizontal                                    -0.0000      -0.0000       1
regulaciones horizontales                horizontal regulations                        -0.0000      -0.0000       1
las regulaciones horizontales            horizontal regulations are                    -0.0000      -0.0000       1
las regulaciones                         regulations are                                1.0000      -0.0000       1
lo hacen                                 do                                             3.3219      -0.0000       1
no lo hacen                              do not                                         1.5850      -0.0000       1
apenas                                   hardly                                        -0.0000      -0.0000       1
la competencia .                         competition .                                  2.0000      -0.0000       1
del ponente                              the rapporteur ' s                            -0.0000      -0.0000       1
las enmiendas 6                          amendments nos 6                              -0.0000      -0.0000       1
las enmiendas 6 y                        amendments nos 6 and                          -0.0000      -0.0000       1
las enmiendas 6 y 7                      amendments nos 6 and 7                        -0.0000      -0.0000       1
6 y                                      6 and                                         -0.0000      -0.0000       1
6 y 7                                    6 and 7                                       -0.0000      -0.0000       1
por eso ,                                , therefore ,                                 -0.0000      -0.0000       1
por eso                                  therefore                                      3.9069      -0.0000       1
merecen                                  deserve                                       -0.0000      -0.0000       1
merecen nuestro                          deserve our                                   -0.0000      -0.0000       1
merecen nuestro apoyo                    deserve our support                           -0.0000      -0.0000       1
merecen nuestro apoyo .                  deserve our support .                         -0.0000      -0.0000       1
las enmiendas 1                          amendments nos 1                              -0.0000      -0.0000       1
las enmiendas 1 y                        amendments nos 1 and                          -0.0000      -0.0000       1
las enmiendas 1 y 5                      amendments nos 1 and 5                        -0.0000      -0.0000       1
1 y                                      1 and                                         -0.0000      -0.0000       1
1 y 5                                    1 and 5                                       -0.0000      -0.0000       1
y 5                                      and 5                                         -0.0000      -0.0000       1
5                                        5                                              1.0000      -0.0000       1
a                                        reference to                                  -0.0000       6.8202       1
fenómeno                                 phenomenon                                    -0.0000      -0.0000       1
,                                        because                                        4.7004       7.2946       1
que                                      does                                           1.5850       7.6366       1
por                                      result                                         1.5850       6.3576       1
del                                      full                                           1.0000       4.4594       1
ciudadanos y                             citizens and                                  -0.0000      -0.0000       1
las empresas .                           companies .                                   -0.0000      -0.0000       1
si esta                                  if this                                       -0.0000      -0.0000       1
parece                                   seems                                          1.0000       1.0000       1
parece más                               seems more                                    -0.0000      -0.0000       1
y esto iría                              this would be                                 -0.0000      -0.0000       1
detrimento                               expense                                       -0.0000       1.0000       1
exceso                                   does                                           1.5850      -0.0000       1
de trabajo de                            of work                                       -0.0000      -0.0000       1
verdaderamente                           really                                         1.5850      -0.0000       1
jueces nacionales están                  national judges are                           -0.0000      -0.0000       1
los jueces nacionales están              national judges are required                  -0.0000      -0.0000       1
los                                      required                                      -0.0000       5.5546       1
esto y                                   this and                                      -0.0000      -0.0000       1
estas cuestiones                         these points                                  -0.0000       1.0000       1
cuestiones                               points                                         2.8074       2.8074       1
por definición                           by definition                                 -0.0000      -0.0000       1
tomar o                                  take or                                       -0.0000      -0.0000       1
una buena                                a sound                                       -0.0000      -0.0000       1
una buena base                           a sound basis                                 -0.0000      -0.0000       1
buena                                    sound                                          1.0000       2.3219       1
buena base                               sound basis                                   -0.0000       1.0000       1
debate y                                 discussion and                                -0.0000       1.0000       1
comparto                                 share                                          1.0000      -0.0000       1
mismo objetivo                           same objective                                -0.0000      -0.0000       1
mismo objetivo .                         same objective .                              -0.0000      -0.0000       1
objetivo .                               objective .                                   -0.0000      -0.0000       1
embargo ,                                , but                                          3.4594       1.0000       1
sin                                      nevertheless                                   1.0000       2.8074       1
primer lugar                             firstly ,                                      1.5850       3.1699       1
soy                                      i am                                           2.0000       1.0000       1
soy una                                  i am a                                        -0.0000      -0.0000       1
cultural                                 cultural                                      -0.0000      -0.0000       1
mercado interior necesita                internal market needs                         -0.0000      -0.0000       1
mercado interior necesita una            internal market needs a                       -0.0000      -0.0000       1
necesita                                 needs                                          1.5850      -0.0000       1
necesita una                             needs a                                       -0.0000      -0.0000       1
concepto                                 concept                                       -0.0000      -0.0000       1
aplicación .                             application .                                 -0.0000      -0.0000       1
es verdad que                            it is true                                    -0.0000      -0.0000       1
verdad                                   true                                           1.5850       2.3219       1
se                                       the                                            6.8948       6.5699       1
tendría                                  have                                           4.8074      -0.0000       1
no corremos                              not run                                       -0.0000      -0.0000       1
corremos                                 run                                           -0.0000      -0.0000       1
poco más sobre                           more about                                    -0.0000      -0.0000       1
garantizar                               guarantee                                      2.0000       1.5850       1
esta aplicación uniforme                 this uniform application                      -0.0000      -0.0000       1
aplicación uniforme                      uniform application                           -0.0000      -0.0000       1
y si                                     and whether                                   -0.0000      -0.0000       1
y si usted mismo                         and whether you yourself                      -0.0000      -0.0000       1
si usted mismo                           whether you yourself                          -0.0000      -0.0000       1
usted mismo                              you yourself                                  -0.0000      -0.0000       1
cien                                     hundred                                       -0.0000      -0.0000       1
segundo lugar                            secondly ,                                     1.5850       2.0000       1
segundo lugar comprendo                  secondly , i understand                       -0.0000      -0.0000       1
comprendo                                i understand                                  -0.0000      -0.0000       1
seguridad jurídica                       legal certainty                               -0.0000      -0.0000       1
seguridad jurídica .                     legal certainty .                             -0.0000      -0.0000       1
este instrumento                         this instrument                               -0.0000      -0.0000       1
como directriz                           as guidelines                                 -0.0000      -0.0000       1
directriz                                guidelines                                     3.8074      -0.0000       1
¿cuáles                                  what                                           4.0875      -0.0000       1
concediendo                              granting                                      -0.0000      -0.0000       1
saber si                                 know whether                                  -0.0000      -0.0000       1
su nueva                                 its new                                       -0.0000      -0.0000       1
van                                      will                                           2.8074       1.5850       1
jurídica y                               legal and                                     -0.0000      -0.0000       1
categorías vertical                      vertical                                       1.0000      -0.0000       1
cuarto lugar                             fourthly ,                                    -0.0000      -0.0000       1
evidentes                                evident                                       -0.0000      -0.0000       1
infracciones evidentes                   evident infringements                         -0.0000      -0.0000       1
infracciones                             infringements                                 -0.0000      -0.0000       1
las reglas                               rules                                          3.8074      -0.0000       1
me pregunto                              i wonder                                       1.0000      -0.0000       1
me pregunto si                           i wonder whether                              -0.0000      -0.0000       1
los países candidatos                    candidate                                     -0.0000      -0.0000       1
como                                     , as                                          -0.0000       5.5850       1
es como                                  , as it                                       -0.0000      -0.0000       1
primera                                  first-class                                   -0.0000       3.5850       1
del mercado interior ?                   internal market ?                             -0.0000      -0.0000       1
y último                                 and lastly                                    -0.0000      -0.0000       1
ya                                       have already                                  -0.0000       3.8074       1
mi informe                               my report                                     -0.0000      -0.0000       1
mi informe sobre                         my report on                                  -0.0000      -0.0000       1
verticales                               vertical                                       1.0000      -0.0000       1
" legal privilege "                      legal privilege                               -0.0000      -0.0000       1
los abogados                             lawyers                                        1.0000      -0.0000       1
los                                      objectives                                     4.0875       5.5546       1
, me parece                              , it seems to me                              -0.0000      -0.0000       1
parece                                   it seems to                                   -0.0000       1.0000       1
me parece                                it seems to me                                -0.0000       1.0000       1
discriminación                           discrimination                                -0.0000      -0.0000       1
discriminación en                        discrimination within                         -0.0000      -0.0000       1
externos                                 external                                      -0.0000      -0.0000       1
jurídicos                                legal                                          2.8074      -0.0000       1
por lo tanto                             hence                                          1.5850       2.3219       1
inaceptable                              acceptable                                     1.0000      -0.0000       1
inaceptable .                            acceptable .                                  -0.0000      -0.0000       1
para                                     taking                                         1.0000       6.0224       1
alguna acción para                       taking any action                             -0.0000      -0.0000       1
alguna                                   any                                            3.1699       1.0000       1
alguna acción                            any action                                    -0.0000      -0.0000       1
juristas                                 lawyers                                        1.0000      -0.0000       1
de todos                                 in all                                         1.5850      -0.0000       1
le                                       asking                                        -0.0000       2.0000       1
preguntas como                           questions as                                  -0.0000      -0.0000       1
espero                                   hope                                           1.5850       1.5850       1
este sentido                             this sense                                    -0.0000       1.0000       1
quiero que                               i would like                                   4.4594      -0.0000       1
sean                                     beginning                                      1.0000       1.0000       1
los socialistas europeos                 european socialists                            2.5850      -0.0000       1
con su informe                           with your report                              -0.0000      -0.0000       1
su informe                               your report                                   -0.0000       1.0000       1
evidente                                 clearly                                        1.5850       1.0000       1
una sola                                 one                                            4.8580      -0.0000       1
una sola enmienda                        one amendment                                  1.5850      -0.0000       1
se haya                                  has been                                       3.5850      -0.0000       1
se haya presentado                       has been presented                            -0.0000      -0.0000       1
este trámite                             during this procedure                         -0.0000      -0.0000       1
libro blanco .                           white paper .                                 -0.0000      -0.0000       1
competencia ha                           competition has been                          -0.0000      -0.0000       1
cuarenta                                 forty                                         -0.0000      -0.0000       1
cuarenta años                            forty years                                   -0.0000      -0.0000       1
normas han                               rules were                                    -0.0000      -0.0000       1
normas han empezado                      rules were beginning                          -0.0000      -0.0000       1
normas han empezado a                    rules were beginning to                       -0.0000      -0.0000       1
han                                      were                                           3.0000       4.5236       1
han empezado                             were beginning                                -0.0000      -0.0000       1
han empezado a                           were beginning to                             -0.0000      -0.0000       1
empezado                                 beginning                                      1.0000      -0.0000       1
empezado a                               beginning to                                  -0.0000      -0.0000       1
por ello                                 for this reason ,                             -0.0000       1.0000       1
esa                                      that                                           6.7682       2.3219       1
esa modernización                        that modernisation                            -0.0000      -0.0000       1
se                                       to be                                          1.0000       6.5699       1
particularmente necesaria en             particularly necessary for                    -0.0000      -0.0000       1
particularmente necesaria en cinco       particularly necessary for five               -0.0000      -0.0000       1
procedimiento                            procedural                                    -0.0000       3.1699       1
el sistema                               the system                                    -0.0000      -0.0000       1
el sistema de                            the system of                                 -0.0000      -0.0000       1
sistema de                               system of                                     -0.0000      -0.0000       1
que                                      needed                                         1.0000       7.6366       1
urgente                                  urgent                                         1.0000      -0.0000       1
urgente reforma                          urgent reform                                 -0.0000      -0.0000       1
se                                       attended                                      -0.0000       6.5699       1
foro                                     forum                                         -0.0000      -0.0000       1
sistema .                                system .                                      -0.0000      -0.0000       1
como el                                  as the                                        -0.0000      -0.0000       1
los                                      able                                           2.8074       5.5546       1
los                                      able to                                        1.0000       5.5546       1
éstas                                    they                                           4.0000      -0.0000       1
éstas no podían                          they could not                                -0.0000      -0.0000       1
podían                                   could                                          2.0000      -0.0000       1
no podían                                could not                                     -0.0000      -0.0000       1
en cierta medida una                     a certain extent                              -0.0000      -0.0000       1
en cierta medida                         certain extent                                 1.0000      -0.0000       1
coherente                                coherent                                      -0.0000       1.0000       1
aplicación coherente                     coherent application                          -0.0000      -0.0000       1
ante                                     before                                         2.5850       2.5850       1
sus                                      brought                                       -0.0000       4.7004       1
alemanes                                 german                                         2.0000      -0.0000       1
tribunales alemanes                      german courts                                 -0.0000      -0.0000       1
una reforma en ese                       a reform of this                              -0.0000      -0.0000       1
una reforma en ese punto                 a reform of this point                        -0.0000      -0.0000       1
reforma en ese                           reform of this                                -0.0000      -0.0000       1
reforma en ese punto                     reform of this point                          -0.0000      -0.0000       1
en                                       of this                                        1.0000       7.5469       1
de competencia                           of competition                                 1.0000      -0.0000       1
de competencia está                      of competition is                             -0.0000      -0.0000       1
de competencia está básicamente          of competition is basically                   -0.0000      -0.0000       1
competencia está                         competition is                                 1.0000      -0.0000       1
competencia está básicamente             competition is basically                      -0.0000      -0.0000       1
está básicamente                         is basically                                  -0.0000      -0.0000       1
básicamente                              basically                                      1.0000      -0.0000       1
en favor                                 in favour                                      2.0000      -0.0000       1
en favor de                              in favour of                                  -0.0000      -0.0000       1
en favor de su                           in favour of its                              -0.0000      -0.0000       1
en favor de su modificación              in favour of its amendment                    -0.0000      -0.0000       1
favor                                    favour                                         1.0000       1.0000       1
favor de                                 favour of                                     -0.0000      -0.0000       1
favor de su                              favour of its                                 -0.0000      -0.0000       1
favor de su modificación                 favour of its amendment                       -0.0000      -0.0000       1
de su                                    of its                                        -0.0000      -0.0000       1
de su modificación                       of its amendment                              -0.0000      -0.0000       1
su modificación                          its amendment                                 -0.0000      -0.0000       1
un auténtico                             a genuine                                     -0.0000       1.0000       1
un auténtico procedimiento               a genuine procedure                           -0.0000      -0.0000       1
auténtico                                genuine                                        2.0000       1.0000       1
auténtico procedimiento                  genuine procedure                             -0.0000      -0.0000       1
plazos                                   time limits                                   -0.0000      -0.0000       1
interesados                              interested                                    -0.0000      -0.0000       1
adecuadamente                            properly                                       1.5850      -0.0000       1
unanimidad                               unanimous                                     -0.0000       1.5850       1
petición                                 demand                                         1.0000       2.3219       1
hace tiempo                              time ago                                      -0.0000      -0.0000       1
podía                                    could                                          2.0000      -0.0000       1
podía ser                                could be                                      -0.0000      -0.0000       1
podía ser aplicado                       could be applied                              -0.0000      -0.0000       1
podía ser aplicado por                   could be applied by                           -0.0000      -0.0000       1
ser aplicado                             be applied                                    -0.0000      -0.0000       1
ser aplicado por                         be applied by                                 -0.0000      -0.0000       1
aplicado                                 applied                                        1.0000      -0.0000       1
aplicado por                             applied by                                    -0.0000      -0.0000       1
una comunicación                         a communication                               -0.0000      -0.0000       1
una comunicación sobre                   a communication on                            -0.0000      -0.0000       1
una comunicación sobre ese               a communication on this                       -0.0000      -0.0000       1
una comunicación sobre ese tema          a communication on this subject               -0.0000      -0.0000       1
comunicación sobre                       communication on                              -0.0000      -0.0000       1
comunicación sobre ese                   communication on this                         -0.0000      -0.0000       1
comunicación sobre ese tema              communication on this subject                 -0.0000      -0.0000       1
comunicación sobre ese tema .            communication on this subject .               -0.0000      -0.0000       1
sobre ese                                on this                                        1.5850      -0.0000       1
